,Restaurant Name,URL,no of reviews
0,1618 Asian Fusion,https://www.yelp.com/biz/1618-asian-fusion-austin,"(2,658 reviews)"
1,Moonshine Patio Bar & Grill,https://www.yelp.com/biz/moonshine-patio-bar-and-grill-austin,"(5,852 reviews)"
2,Odd Duck,https://www.yelp.com/biz/odd-duck-austin-2,"(2,179 reviews)"
3,Salty Sow,https://www.yelp.com/biz/salty-sow-austin,"(3,222 reviews)"
4,Suerte,https://www.yelp.com/biz/suerte-austin,(997 reviews)
5,Terry Black’s Barbecue,https://www.yelp.com/biz/terry-blacks-barbecue-austin,"(6,345 reviews)"
6,Aba - Austin,https://www.yelp.com/biz/aba-austin-austin,"(1,172 reviews)"
7,Uchiko,https://www.yelp.com/biz/uchiko-austin,"(2,173 reviews)"
8,Loro,https://www.yelp.com/biz/loro-austin,"(2,011 reviews)"
9,Barley Swine,https://www.yelp.com/biz/barley-swine-austin,"(1,206 reviews)"
10,Lin Asian Bar And Dim Sum,https://www.yelp.com/biz/lin-asian-bar-and-dim-sum-austin,"(1,046 reviews)"
11,Red Ash - Temp. CLOSED,https://www.yelp.com/biz/red-ash-austin,"(1,265 reviews)"
12,Qi Austin,https://www.yelp.com/biz/qi-austin-austin-2,(589 reviews)
13,Franklin Barbecue,https://www.yelp.com/biz/franklin-barbecue-austin,"(5,880 reviews)"
14,Honey Moon Spirit Lounge,https://www.yelp.com/biz/honey-moon-spirit-lounge-austin-2,(214 reviews)
15,Bouldin Creek Cafe,https://www.yelp.com/biz/bouldin-creek-cafe-austin,"(2,768 reviews)"
16,Bangers Sausage House & Beer Garden,https://www.yelp.com/biz/bangers-sausage-house-and-beer-garden-austin,"(2,714 reviews)"
17,Caroline,https://www.yelp.com/biz/caroline-austin-2,"(1,271 reviews)"
18,Uchi,https://www.yelp.com/biz/uchi-austin,"(2,906 reviews)"
19,True Food Kitchen,https://www.yelp.com/biz/true-food-kitchen-austin-5,"(1,187 reviews)"
20,Anthem,https://www.yelp.com/biz/anthem-austin-4,(622 reviews)
21,Hopdoddy Burger Bar,https://www.yelp.com/biz/hopdoddy-burger-bar-austin,"(5,210 reviews)"
22,Salt Traders Zilker,https://www.yelp.com/biz/salt-traders-zilker-austin,(413 reviews)
23,Home Slice Pizza,https://www.yelp.com/biz/home-slice-pizza-austin,"(4,599 reviews)"
24,Garrison,https://www.yelp.com/biz/garrison-austin-2,(248 reviews)
25,Canje,https://www.yelp.com/biz/canje-austin,(331 reviews)
26,Eureka! - Austin,https://www.yelp.com/biz/eureka-austin-austin,"(1,100 reviews)"
27,Launderette,https://www.yelp.com/biz/launderette-austin,"(1,327 reviews)"
28,Hestia,https://www.yelp.com/biz/hestia-austin,(280 reviews)
29,Perla’s,https://www.yelp.com/biz/perlas-austin,"(1,862 reviews)"
30,Gus’s World Famous Fried Chicken - Austin,https://www.yelp.com/biz/guss-world-famous-fried-chicken-austin-austin,"(3,135 reviews)"
31,Jack Allen’s Kitchen Anderson Lane,https://www.yelp.com/biz/jack-allens-kitchen-anderson-lane-austin,(424 reviews)
32,Doc B’s Restaurant + Bar,https://www.yelp.com/biz/doc-bs-restaurant-bar-austin,(797 reviews)
33,Vic & Al’s,https://www.yelp.com/biz/vic-and-als-austin,(416 reviews)
34,Jack Allen’s Kitchen,https://www.yelp.com/biz/jack-allens-kitchen-austin-18,(615 reviews)
35,Via 313 Pizza,https://www.yelp.com/biz/via-313-pizza-austin-austin,(795 reviews)
36,Emmer & Rye,https://www.yelp.com/biz/emmer-and-rye-austin,(861 reviews)
37,Patrizi’s,https://www.yelp.com/biz/patrizis-austin,(977 reviews)
38,Perry’s Steakhouse & Grille - Downtown Austin,https://www.yelp.com/biz/perrys-steakhouse-and-grille-downtown-austin-austin,"(1,479 reviews)"
39,Eddie V’s Prime Seafood,https://www.yelp.com/biz/eddie-vs-prime-seafood-austin-8,"(1,367 reviews)"
40,Eberly,https://www.yelp.com/biz/eberly-austin,(716 reviews)
