,Restaurant Name,URL,no of reviews
0,Girl & The Goat,https://www.yelp.com/biz/girl-and-the-goat-chicago,"(9,951 reviews)"
1,The Purple Pig,https://www.yelp.com/biz/the-purple-pig-chicago,"(8,272 reviews)"
2,Wildberry Pancakes and Cafe,https://www.yelp.com/biz/wildberry-pancakes-and-cafe-chicago-2,"(9,380 reviews)"
3,Cafe Ba-Ba-Reeba!,https://www.yelp.com/biz/cafe-ba-ba-reeba-chicago-3,"(4,789 reviews)"
4,Au Cheval,https://www.yelp.com/biz/au-cheval-chicago,"(8,594 reviews)"
5,Aba,https://www.yelp.com/biz/aba-chicago-2,"(1,456 reviews)"
6,S.K.Y.,https://www.yelp.com/biz/s-k-y-chicago-5,(674 reviews)
7,Bavette’s Bar & Boeuf,https://www.yelp.com/biz/bavettes-bar-and-boeuf-chicago,"(3,040 reviews)"
8,Beatnik West Town,https://www.yelp.com/biz/beatnik-west-town-chicago,(747 reviews)
9,Alinea,https://www.yelp.com/biz/alinea-chicago,"(2,558 reviews)"
10,Boka,https://www.yelp.com/biz/boka-chicago,"(1,713 reviews)"
11,etta - Bucktown,https://www.yelp.com/biz/etta-bucktown-chicago,"(1,029 reviews)"
12,Kasama,https://www.yelp.com/biz/kasama-chicago,(630 reviews)
13,KAI ZAN,https://www.yelp.com/biz/kai-zan-chicago,"(1,241 reviews)"
14,Ema,https://www.yelp.com/biz/ema-chicago-6,"(1,584 reviews)"
15,Prime & Provisions,https://www.yelp.com/biz/prime-and-provisions-chicago-5,"(1,513 reviews)"
16,Trivoli Tavern,https://www.yelp.com/biz/trivoli-tavern-chicago,(432 reviews)
17,Amaru,https://www.yelp.com/biz/amaru-chicago,(379 reviews)
18,Penumbra,https://www.yelp.com/biz/penumbra-chicago,(846 reviews)
19,Oriole,https://www.yelp.com/biz/oriole-chicago,(387 reviews)
20,RPM Italian,https://www.yelp.com/biz/rpm-italian-chicago,"(3,531 reviews)"
21,Bar Siena,https://www.yelp.com/biz/bar-siena-chicago-2,"(2,091 reviews)"
22,Il Porcellino,https://www.yelp.com/biz/il-porcellino-chicago,"(1,323 reviews)"
23,The Gage,https://www.yelp.com/biz/the-gage-chicago,"(3,369 reviews)"
24,Three Dots and A Dash,https://www.yelp.com/biz/three-dots-and-a-dash-chicago,"(3,844 reviews)"
25,Provare,https://www.yelp.com/biz/provare-chicago,(186 reviews)
26,Rose Mary,https://www.yelp.com/biz/rose-mary-chicago-2,(530 reviews)
27,Siena Tavern,https://www.yelp.com/biz/siena-tavern-chicago,"(2,210 reviews)"
28,Sapori Trattoria,https://www.yelp.com/biz/sapori-trattoria-chicago,
29,Lou Malnati’s Pizzeria,https://www.yelp.com/biz/lou-malnatis-pizzeria-chicago,"(7,197 reviews)"
30,Cindy’s Rooftop,https://www.yelp.com/biz/cindys-rooftop-chicago,"(2,266 reviews)"
31,Pequod’s Pizzeria,https://www.yelp.com/biz/pequods-pizzeria-chicago,"(7,750 reviews)"
32,"Joe’s Seafood, Prime Steak & Stone Crab",https://www.yelp.com/biz/joes-seafood-prime-steak-and-stone-crab-chicago,"(2,906 reviews)"
33,The Dearborn,https://www.yelp.com/biz/the-dearborn-chicago-2,"(2,124 reviews)"
34,Kuma’s Corner - Belmont,https://www.yelp.com/biz/kumas-corner-belmont-chicago,"(5,363 reviews)"
35,RPM Steak,https://www.yelp.com/biz/rpm-steak-chicago-2,
36,Portillo’s & Barnelli’s Chicago,https://www.yelp.com/biz/portillos-hot-dogs-chicago-8,"(6,668 reviews)"
37,"The Chicago Diner, Logan Square",https://www.yelp.com/biz/the-chicago-diner-logan-square-chicago-3,"(1,032 reviews)"
38,Duck Duck Goat,https://www.yelp.com/biz/duck-duck-goat-chicago,"(1,825 reviews)"
39,Machine Engineered Dining & Drink,https://www.yelp.com/biz/machine-engineered-dining-and-drink-chicago,(716 reviews)
40,Avec - Chicago,https://www.yelp.com/biz/avec-chicago-chicago,"(2,427 reviews)"
41,3 Arts Club Cafe,https://www.yelp.com/biz/3-arts-club-cafe-chicago-10,"(1,492 reviews)"
42,Mott St,https://www.yelp.com/biz/mott-st-chicago-2,(942 reviews)
43,Gaijin,https://www.yelp.com/biz/gaijin-chicago,(598 reviews)
